entry,at,order
"""daniel @ -2udal4db3"" posts a small blind of 100",2025-05-16T14:08:37.773Z,174740451777305
"Your hand is 4♣, 4♥",2025-05-16T14:08:37.773Z,174740451777303
"Player stacks: #1 ""ymk @ u2PJYvu21j"" (23000) | #5 ""daniel @ -2udal4db3"" (17300) | #8 ""Ejk @ i4HZ9hui3f"" (19700)",2025-05-16T14:08:37.773Z,174740451777301
"-- starting hand #4 (id: gm5t4ooychie)  (No Limit Texas Hold'em) (dealer: ""ymk @ u2PJYvu21j"") --",2025-05-16T14:08:37.773Z,174740451777300
"-- ending hand #3 --",2025-05-16T14:08:34.840Z,174740451484002
"""ymk @ u2PJYvu21j"" collected 1200 from pot",2025-05-16T14:08:34.840Z,174740451484001
"Uncalled bet of 1000 returned to ""ymk @ u2PJYvu21j""",2025-05-16T14:08:34.840Z,174740451484000
"""daniel @ -2udal4db3"" folds",2025-05-16T14:08:34.015Z,174740451401500
"""ymk @ u2PJYvu21j"" bets 1000",2025-05-16T14:08:21.946Z,174740450194600
"Turn: J♥, 5♥, 6♣ [10♦]",2025-05-16T14:08:16.699Z,174740449669900
"""daniel @ -2udal4db3"" calls 400",2025-05-16T14:08:15.886Z,174740449588600
"""ymk @ u2PJYvu21j"" bets 400",2025-05-16T14:08:10.357Z,174740449035700
"Flop:  [J♥, 5♥, 6♣]",2025-05-16T14:08:08.057Z,174740448805700
"""daniel @ -2udal4db3"" checks",2025-05-16T14:08:07.240Z,174740448724000
"""ymk @ u2PJYvu21j"" calls 200",2025-05-16T14:08:05.553Z,174740448555300
"""Ejk @ i4HZ9hui3f"" folds",2025-05-16T14:07:54.210Z,174740447421000
"""daniel @ -2udal4db3"" posts a big blind of 200",2025-05-16T14:07:52.162Z,174740447216206
"""ymk @ u2PJYvu21j"" posts a small blind of 100",2025-05-16T14:07:52.162Z,174740447216205
"Your hand is K♥, 7♦",2025-05-16T14:07:52.162Z,174740447216203
"Player stacks: #1 ""ymk @ u2PJYvu21j"" (22400) | #5 ""daniel @ -2udal4db3"" (17900) | #8 ""Ejk @ i4HZ9hui3f"" (19700)",2025-05-16T14:07:52.162Z,174740447216201
"-- starting hand #3 (id: whqgizsnziem)  (No Limit Texas Hold'em) (dealer: ""Ejk @ i4HZ9hui3f"") --",2025-05-16T14:07:52.162Z,174740447216200
"-- ending hand #2 --",2025-05-16T14:07:46.156Z,174740446615602
"""ymk @ u2PJYvu21j"" collected 6100 from pot with Pair, 10's (combination: 10♦, 10♠, K♣, 9♦, 5♥)",2025-05-16T14:07:46.156Z,174740446615601
"""ymk @ u2PJYvu21j"" shows a 10♦, 10♠.",2025-05-16T14:07:46.156Z,174740446615600
"""daniel @ -2udal4db3"" calls 1000",2025-05-16T14:07:45.323Z,174740446532300
"""ymk @ u2PJYvu21j"" bets 1000",2025-05-16T14:07:41.659Z,174740446165900
"River: 4♥, 5♥, K♣, 3♣ [9♦]",2025-05-16T14:07:38.346Z,174740445834600
"""daniel @ -2udal4db3"" checks",2025-05-16T14:07:37.533Z,174740445753300
"""ymk @ u2PJYvu21j"" checks",2025-05-16T14:07:36.259Z,174740445625900
"Turn: 4♥, 5♥, K♣ [3♣]",2025-05-16T14:07:31.738Z,174740445173800
"""daniel @ -2udal4db3"" calls 800",2025-05-16T14:07:30.908Z,174740445090800
"""ymk @ u2PJYvu21j"" bets 800",2025-05-16T14:07:28.813Z,174740444881300
"Flop:  [4♥, 5♥, K♣]",2025-05-16T14:07:25.823Z,174740444582300
"""daniel @ -2udal4db3"" calls 1200",2025-05-16T14:07:24.978Z,174740444497800
"""ymk @ u2PJYvu21j"" raises to 1200",2025-05-16T14:07:23.796Z,174740444379600
"""Ejk @ i4HZ9hui3f"" folds",2025-05-16T14:07:22.218Z,174740444221800
"""daniel @ -2udal4db3"" raises to 700",2025-05-16T14:07:19.476Z,174740443947600
"""ymk @ u2PJYvu21j"" posts a big blind of 200",2025-05-16T14:07:17.219Z,174740443721906
"""Ejk @ i4HZ9hui3f"" posts a small blind of 100",2025-05-16T14:07:17.219Z,174740443721905
"Your hand is 10♣, A♠",2025-05-16T14:07:17.219Z,174740443721903
"Player stacks: #1 ""ymk @ u2PJYvu21j"" (19300) | #5 ""daniel @ -2udal4db3"" (20900) | #8 ""Ejk @ i4HZ9hui3f"" (19800)",2025-05-16T14:07:17.219Z,174740443721901
"-- starting hand #2 (id: 0wcvh3ekbndl)  (No Limit Texas Hold'em) (dealer: ""daniel @ -2udal4db3"") --",2025-05-16T14:07:17.219Z,174740443721900
"-- ending hand #1 --",2025-05-16T14:07:14.308Z,174740443430802
"""daniel @ -2udal4db3"" collected 1600 from pot",2025-05-16T14:07:14.308Z,174740443430801
"Uncalled bet of 700 returned to ""daniel @ -2udal4db3""",2025-05-16T14:07:14.308Z,174740443430800
"""ymk @ u2PJYvu21j"" folds",2025-05-16T14:07:13.499Z,174740443349900
"""daniel @ -2udal4db3"" bets 700",2025-05-16T14:07:11.692Z,174740443169200
"Flop:  [3♥, 7♦, 2♣]",2025-05-16T14:07:06.014Z,174740442601400
"""ymk @ u2PJYvu21j"" calls 700",2025-05-16T14:07:05.124Z,174740442512400
"""Ejk @ i4HZ9hui3f"" folds",2025-05-16T14:07:03.595Z,174740442359500
"""daniel @ -2udal4db3"" raises to 700",2025-05-16T14:07:01.647Z,174740442164700
"""ymk @ u2PJYvu21j"" calls 200",2025-05-16T14:06:57.757Z,174740441775700
"""Ejk @ i4HZ9hui3f"" posts a big blind of 200",2025-05-16T14:06:56.326Z,174740441632609
"""daniel @ -2udal4db3"" posts a small blind of 100",2025-05-16T14:06:56.326Z,174740441632608
"Your hand is A♦, A♥",2025-05-16T14:06:56.326Z,174740441632606
"Player stacks: #1 ""ymk @ u2PJYvu21j"" (20000) | #5 ""daniel @ -2udal4db3"" (20000) | #8 ""Ejk @ i4HZ9hui3f"" (20000)",2025-05-16T14:06:56.326Z,174740441632604
"The player ""Ejk @ i4HZ9hui3f"" joined the game with a stack of 20000.",2025-05-16T14:06:56.326Z,174740441632603
"The player ""daniel @ -2udal4db3"" joined the game with a stack of 20000.",2025-05-16T14:06:56.326Z,174740441632602
"The player ""ymk @ u2PJYvu21j"" joined the game with a stack of 20000.",2025-05-16T14:06:56.326Z,174740441632601
"-- starting hand #1 (id: xtuwjjwmpg5m)  (No Limit Texas Hold'em) (dealer: ""ymk @ u2PJYvu21j"") --",2025-05-16T14:06:56.326Z,174740441632600
"The admin approved the player ""daniel @ -2udal4db3"" participation with a stack of 20000.",2025-05-16T14:05:45.499Z,174740434549900
"The player ""daniel @ -2udal4db3"" requested a seat.",2025-05-16T14:05:42.062Z,174740434206200
"The admin approved the player ""Ejk @ i4HZ9hui3f"" participation with a stack of 20000.",2025-05-16T14:05:35.763Z,174740433576300
"The player ""Ejk @ i4HZ9hui3f"" requested a seat.",2025-05-16T14:05:32.816Z,174740433281600
"The game's ante was changed from 0 to 0.",2025-05-16T14:05:06.211Z,174740430621102
"The game's big blind was changed from 20 to 200.",2025-05-16T14:05:06.211Z,174740430621101
"The game's small blind was changed from 10 to 100.",2025-05-16T14:05:06.211Z,174740430621100
"The admin approved the player ""ymk @ u2PJYvu21j"" participation with a stack of 20000.",2025-05-16T14:04:40.177Z,174740428017701
"The player ""ymk @ u2PJYvu21j"" requested a seat.",2025-05-16T14:04:40.177Z,174740428017700
